timestamp,Bull_education_Magaret,Bull_education_Myra,Bull_lodging_Melissa,Bull_education_Juan,Bull_lodging_Lettie,Bull_lodging_Travis,Bull_office_Trevor,Bull_office_Chantel,Bull_office_Yvonne,Hog_education_Wayne,Hog_office_Mari,Hog_office_Cornell,Hog_office_Sonny,Hog_education_Janell,Hog_lodging_Mauricio,Hog_education_Sonia,Hog_lodging_Ora,Hog_lodging_Celeste
2016-02-01 00:00:00,15.8142,2.7908,110.6998,93.9553,13.9538,327.448,26.9772,32.5587,30.6982,364.5703,16.6797,9607.5,222.04,3869.6875,1801.4062,4260.4688,2137.3828,303.8086
2016-02-01 01:00:00,2.7908,3.721,66.97800000000001,93.9553,19.5352,298.6102,30.6982,22.326,29.768,362.1875,11.6162,9435.9375,246.44,3907.8125,1715.625,4424.8828,1837.1484,263.3008
2016-02-01 02:00:00,3.721,1.8605,80.0015,112.5602,13.9538,286.517,27.9075,53.0242,30.6982,369.3359,16.3818,9035.625,241.56,3993.5938,1572.6562,4539.2578,1572.6562,244.2383
2016-02-01 03:00:00,12.0932,2.7908,68.8385,74.42,13.0235,229.7718,28.8378,35.3495,29.768,376.4844,6.8506,9321.5625,248.88,3945.9375,1601.25,4610.7422,1586.9531,234.707
2016-02-01 04:00:00,3.721,1.8605,66.0478,94.8855,13.0235,336.7505,34.4192,37.21,34.4192,378.8672,13.1055,9435.9375,252.54,4069.8438,1601.25,4717.9688,1508.3203,237.0898
2016-02-01 05:00:00,50.2335,2.7908,68.8385,112.5602,13.9538,329.3085,26.9772,56.7452,23.2562,386.0156,34.5508,9550.3125,262.3,4174.6875,1715.625,4953.8672,1586.9531,235.8984
2016-02-01 06:00:00,44.652,2.7908,78.141,93.9553,13.9538,359.0765,40.0008,40.931,32.5587,433.6719,196.8799,10808.4375,270.84,4231.875,1601.25,5211.2109,1772.8125,238.2812
2016-02-01 07:00:00,35.3495,2.7908,80.0015,149.7702,13.9538,323.7270000000001,33.489000000000004,37.21,15.8142,543.2812,228.4521,10980.0,417.24,4374.8438,1887.1875,5976.0938,1972.9688,245.4297
2016-02-01 08:00:00,37.21,2.7908,83.7225,133.95600000000002,13.0235,400.0075,26.047,59.536,24.1865,500.3906,242.749,11494.6875,417.24,7910.9375,2144.5312,6104.7656,2430.4688,326.4453
2016-02-01 09:00:00,49.3032,1.8605,121.8628,113.4905,19.5352,476.288,33.489000000000004,67.9082,24.1865,507.5391,186.4551,12066.5625,369.05,7462.9688,2144.5312,6111.9141,2473.3594,312.1484
