timestamp,Fox_lodging_Stephen,Fox_lodging_Stephan,Fox_education_Lilly,Fox_lodging_Warren,Fox_education_Andre,Fox_office_Margarita,Fox_office_Berniece,Fox_office_Alice,Fox_education_Leota,Bull_education_Magaret,Bull_office_Myron,Bull_education_Myra,Bull_education_Dan,Bull_lodging_Melissa,Bull_lodging_Caren,Bull_office_Lilla,Bull_office_Efren,Bull_lodging_Lettie
2016-02-01 00:00:00,59.49100000000001,40.9389,71.8594,0.0,244.5199,24.3654,31.1681,951.3645,90.2881,301.7848,327.0161,227.9464,1228.5366,1589.9366,1178.5689,1139.7327,120.3431,197.8917
2016-02-01 01:00:00,42.2993,38.7124,68.2726,0.0,284.0982,19.4183,31.9101,892.9866,97.8328,149.9029,293.8694,211.7443,1186.9794,1560.7474,1110.5439,990.9428,92.638,200.4889
2016-02-01 02:00:00,44.2782,40.9389,61.7176,0.0,247.7357,19.6655,54.6677,886.555,93.9987,154.7266,277.0483,147.0581,1193.04,1458.4623,1037.4475,998.3637,91.2777,200.3655
2016-02-01 03:00:00,42.7941,42.052,61.5938,0.0,148.0478,18.7997,40.5679,865.6526,199.8707,146.1926,221.8862,133.7004,1151.73,1384.995,959.7751,911.9101,87.1961,202.0968
2016-02-01 04:00:00,37.1049,43.5361,62.9544,0.0,199.4996,19.9128,36.239,850.8108,157.6949,147.4295,204.1996,143.9661,1149.1325,1317.2168,919.5782,981.0482,73.8384,198.3866
2016-02-01 05:00:00,11.5026,43.1651,76.9304,0.0,222.2572,19.7893,62.8306,893.9759,212.7336,371.6653,186.884,157.4476,1202.6871,1362.2374,901.3968,1080.2416,63.5727,210.7546
2016-02-01 06:00:00,6.0606,44.1548,106.614,0.0,295.3535,20.0365,31.0443,894.8417,235.9859,427.9409,301.9086,163.2606,1232.3707,1330.4511,889.0287,1108.5649,76.3121,212.9811
2016-02-01 07:00:00,7.2971,44.8968,164.4975,0.0,269.7512,25.3547,33.0232,1120.4382,270.246,421.633,378.839,287.9326,1275.9068,1408.7418,903.8705,1611.0862,100.059,212.8573
2016-02-01 08:00:00,14.8418,46.7519,131.5981,0.0,169.0736,24.8603,49.7202,1064.4102,245.7568,449.9563,463.6851,307.9691,1323.7722,1416.0393,955.1986,1637.183,129.4953,218.1755
2016-02-01 09:00:00,10.1419,45.8861,74.4566,0.0,75.6935,22.8813,46.9992,922.6702,224.4833,451.4405,517.7341,376.2418,1366.3187,1503.1115,1024.0898,1698.7768,204.8178,224.4833
2016-02-01 10:00:00,3.7106,35.3732,67.9016,0.0,226.4623,20.4076,47.494,840.1741,201.9734,529.8553,625.9564,436.9697,1490.8669,1550.7293,1027.1819,1791.2914,300.9193,232.2753
2016-02-01 11:00:00,4.0817,0.0,102.7799,0.0,318.7293,17.8104,47.494,929.3491,258.9907,608.6408,652.6718,547.9129,1633.1017,1610.7152,1159.893,1934.0206,381.6837,246.3754
2016-02-01 12:00:00,2.2262,0.0,123.0641,0.0,313.4111,21.1496,44.5258,964.5985,249.5908,634.3666,661.2058,594.4173,1681.214,1582.7629,1145.0512,2010.951,406.0492,256.7645
2016-02-01 13:00:00,3.5868,0.0,103.6458,0.0,227.4519,21.7682,66.2937,970.5352,248.354,680.7475,701.0316,601.3434,1680.7191,1704.9611,1245.7284,2054.7347,478.4034,240.3148
2016-02-01 14:00:00,2.8448,0.0,108.964,0.0,171.6712,22.2627,62.4596,1017.1634,239.6965,729.4784,760.3989,591.5725,1750.8472,1903.7187,1284.5646,2208.1007,558.5493,248.354
2016-02-01 15:00:00,2.9682,0.0,109.0878,0.0,218.1755,22.2627,59.6148,995.5193,251.6936,759.7806,822.6113,660.5875,1805.8859,2056.8375,1298.2934,2363.4459,614.33,253.1777
2016-02-01 16:00:00,149.7795,0.0,109.9536,0.0,286.6957,22.5103,89.6698,1025.0791,262.5775,806.9036,896.5734,696.3317,1814.2961,2187.3221,1443.7439,2445.8183,653.0428,258.4962
2016-02-01 17:00:00,2.35,0.0,111.9325,0.0,319.8424,22.7575,84.4751,1029.408,254.5383,794.5352,841.1637,679.3872,1787.3335,2149.4755,1522.406,2445.6945,618.9065,256.0225
2016-02-01 18:00:00,5.9368,0.0,200.2417,0.0,331.3449,21.3972,33.0232,1036.0869,217.8045,707.0919,799.9775,651.1877,1729.3266,2155.4120000000007,1436.8179,2348.6038,523.4237,246.3754
2016-02-01 19:00:00,2.2262,0.0,139.39,0.0,234.2542,19.9128,30.0546,992.798,173.5263,627.6877,777.962,598.7462,1638.7909,2034.2034,1386.3553,2152.3199,422.4989,248.7253
2016-02-01 20:00:00,5.9368,0.0,124.3006,0.0,192.326,20.0365,69.2623,1014.0714,161.1582,628.8012,818.9006,600.7251,1647.6963,2126.0994,1483.075,2083.9239,410.1305,248.7253
2016-02-01 21:00:00,2.2262,0.0,123.1875,0.0,222.752,18.7997,48.3599,929.7201,125.043,654.2797,848.5846,612.9697,1707.5583,2145.6411,1483.446,1353.2086,141.2451,258.4962
2016-02-01 22:00:00,1.6079,6.0606,84.2275,0.0,318.3583,18.9235,48.1123,808.3877,102.5327,626.5747,834.9793,569.4336,1635.0806,2075.3895,1437.6834,1247.2129,133.20600000000002,255.5276
2016-02-01 23:00:00,0.9893,7.6681,58.8728,0.0,248.4778,18.4286,60.3569,727.6233,95.2352,604.683,623.4826,536.1628,1631.1228,2061.5374,1487.8987,1289.8832,124.7954,275.688
2016-02-02 00:00:00,2.5972,2.9682,104.3878,0.0,152.7477,20.0365,53.4308,859.5923,76.0645,468.385,313.4111,305.6192,1547.7608,1750.3524,1294.9541,1237.3182,103.3986,245.5095
2016-02-02 01:00:00,0.9893,0.0,60.1096,0.0,132.2163,19.9128,41.31,771.9014,84.4751,329.9846,102.5327,225.473,1309.5487,1431.9941,1119.8199,1151.73,65.4278,193.6866
2016-02-02 02:00:00,2.4738,0.0,70.1277,0.0,139.6372,18.7997,43.0413,690.8894,82.1251,184.9051,277.9141,148.5426,1232.6183,1491.3617,1086.5494,1009.8663,98.6986,204.8178
2016-02-02 03:00:00,0.0,0.0,74.9515,0.0,282.6141,19.1707,58.2545,678.8924,74.2094,181.5658,234.378,167.5895,1184.8767,1411.5866,997.1269,988.2218,82.7434,193.5629
2016-02-02 04:00:00,0.0,0.0,58.2545,0.0,272.967,18.1814,84.3513,600.2303,79.4041,170.8053,185.3999,140.9979,1153.7089999999996,1319.4433,887.5446,998.8586,79.7752,187.1312
2016-02-02 05:00:00,0.4948,0.0,106.8616,0.0,804.9247,18.7997,71.1174,705.9788,137.04,298.4455,167.3423,128.2585,1127.6118,1248.9442,816.9217,1121.4278,56.399,182.3079
2016-02-02 06:00:00,2.35,0.0,132.8349,0.0,977.4617,19.1707,23.4996,714.6366,177.2369,401.473,275.0694,110.3246,1105.3491,1193.1635,727.6233,1100.5254,61.3465,166.2292
2016-02-02 07:00:00,0.0,0.0,201.6024,0.0,1071.9549,18.4286,24.2416,599.3648,166.4764,422.0041,268.1433,172.6605,1134.1669,1167.8087,677.2845,1410.4735,58.0069,165.6106
2016-02-02 08:00:00,0.0,0.0,152.1294,0.0,1381.9029999999998,18.1814,36.3625,728.1181,195.047,415.078,313.1635,168.7026,1151.1114,1062.555,675.4293,1478.4985,55.2859,164.9923
2016-02-02 09:00:00,1.3607,0.0,77.4252,0.0,529.7315,18.3049,32.776,651.3111,195.418,434.2487,445.8747,219.9072,1202.1923,1133.7959,686.4371,1486.5379999999998,91.1539,183.421
2016-02-02 10:00:00,0.4948,0.0,100.801,0.0,171.5474,19.5417,33.6415,786.9908,204.1996,528.8657,530.7208,288.1798,1305.7146,1380.7895,716.2445,1589.1945,158.4369,221.7624
2016-02-02 11:00:00,3.092,0.0,105.7485,0.0,160.1686,22.3865,44.2782,856.2527,232.6463,559.2917,598.4989,366.3471,1372.1317,1284.9357,846.7295,1703.3532,245.8806,220.7731
2016-02-02 12:00:00,1.4841,0.0,102.0379,0.0,237.47,24.3654,61.7176,936.3989,231.4098,576.9783,608.5169999999998,396.4017,1450.299,1392.6631,883.4630000000002,1783.9939,294.1166,218.6703
2016-02-02 13:00:00,7.5447,0.0,85.2171,0.0,297.3324,24.1182,59.49100000000001,932.9359,245.0147,593.057,630.6563,432.517,1373.1214,1463.9043,905.3547,1768.2862,325.2847,233.2649
